City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Yeniseysk,RU,58.4497,92.1703,29.5,81,96,12.62,overcast clouds
258,Esperance,AU,-33.8667,121.9,61.74,71,100,16.91,overcast clouds
259,Chokurdakh,RU,70.6333,147.9167,-14.89,100,100,4.76,overcast clouds
260,Madras,IN,13.0878,80.2785,80.58,95,75,0.0,mist
261,Rio Tercero,AR,-32.173,-64.1141,73.8,37,16,6.26,few clouds
262,Ancud,CL,-41.8697,-73.8203,52.43,89,5,6.31,clear sky
263,Katsuura,JP,35.1333,140.3,64.18,80,96,14.83,overcast clouds
264,Le Port,RE,-20.9373,55.2919,73.36,89,28,4.16,scattered clouds
265,Hanna,CA,51.6334,-111.9018,48.22,31,72,17.0,broken clouds
266,Bereda,ES,43.2686,-7.5406,49.01,100,88,9.86,overcast clouds
267,Bolshaya Rechka,RU,51.9503,104.7355,8.87,88,99,6.31,overcast clouds
268,Viedma,AR,-40.8135,-62.9967,51.44,63,0,7.54,clear sky
269,Fairview,US,40.8126,-73.999,39.76,48,1,8.05,clear sky
270,Zhangye,CN,38.9342,100.4517,29.14,32,0,2.73,clear sky
271,Deer Lake,CA,49.1667,-57.4316,44.46,70,90,8.05,overcast clouds
272,Kathu,TH,7.9178,98.3332,83.7,99,100,6.31,overcast clouds
273,Hue,VN,16.4667,107.6,71.71,94,75,10.36,mist
274,Bubaque,GW,11.2833,-15.8333,82.35,78,5,11.21,clear sky
275,Nelidovo,RU,56.2211,32.7774,25.5,65,100,5.91,overcast clouds
276,Mahebourg,MU,-20.4081,57.7,73.26,94,40,3.44,scattered clouds
277,Yuzhnyy,RU,53.2542,83.6936,28.78,86,75,15.66,light shower snow
278,Kisangani,CD,0.5167,25.2,69.31,96,88,1.16,overcast clouds
279,Yarada,IN,17.65,83.2667,79.12,94,75,2.3,mist
280,Husavik,IS,66.0449,-17.3389,40.91,73,21,10.94,few clouds
281,Novikovo,RU,51.1537,37.8879,30.22,80,100,5.06,overcast clouds
282,Neryungri,RU,56.6709,124.6491,-11.43,87,100,6.31,overcast clouds
283,Huarmey,PE,-10.0681,-78.1522,66.07,82,96,6.33,overcast clouds
284,Basi,IN,26.8333,76.0333,53.94,26,0,2.84,clear sky
285,Lavrentiya,RU,65.5833,-171.0,-1.37,92,10,9.62,clear sky
286,Puchezh,RU,56.9788,43.1676,19.96,89,32,17.36,scattered clouds
287,Chino Valley,US,34.7575,-112.4538,57.58,31,1,1.01,clear sky
288,Kalmunai,LK,7.4167,81.8167,76.55,88,100,6.96,overcast clouds
289,Maralal,KE,1.0968,36.698,58.06,64,100,4.94,overcast clouds
290,Iquitos,PE,-3.7481,-73.2472,77.04,88,40,1.14,scattered clouds
291,Severo-Kurilsk,RU,50.6789,156.125,37.71,82,95,15.01,overcast clouds
292,Guiratinga,BR,-16.3494,-53.7583,74.3,88,100,2.1,overcast clouds
